explanation,label,input_size,avg_t,min_t,max_t,std_t,size_in_megabytes
random access to position 6254662,rand_acc,6254662,0.023711,0.020000,0.031000,0.004843,0.000000
random access to position 7066200,rand_acc,7066200,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 1266286,rand_acc,1266286,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 886185,rand_acc,886185,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 2711788,rand_acc,2711788,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 6387124,rand_acc,6387124,0.023250,0.020000,0.031000,0.004655,0.000000
random access to position 7339756,rand_acc,7339756,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 7616544,rand_acc,7616544,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 3988748,rand_acc,3988748,0.023477,0.020000,0.031000,0.004742,0.000000
random access to position 9125002,rand_acc,9125002,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 5434769,rand_acc,5434769,0.023469,0.020000,0.031000,0.004763,0.000000
random access to position 6437972,rand_acc,6437972,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 2613024,rand_acc,2613024,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 5324064,rand_acc,5324064,0.023469,0.020000,0.031000,0.004763,0.000000
random access to position 9650053,rand_acc,9650053,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 32661,rand_acc,32661,0.023805,0.020000,0.031000,0.004853,0.000000
random access to position 1956214,rand_acc,1956214,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 8350421,rand_acc,8350421,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 1579815,rand_acc,1579815,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 7732997,rand_acc,7732997,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 6398441,rand_acc,6398441,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 9556061,rand_acc,9556061,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 4645712,rand_acc,4645712,0.023797,0.020000,0.031000,0.004858,0.000000
random access to position 1824092,rand_acc,1824092,0.023336,0.020000,0.031000,0.004712,0.000000
random access to position 6088920,rand_acc,6088920,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 5554089,rand_acc,5554089,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 9373543,rand_acc,9373543,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 5533646,rand_acc,5533646,0.023500,0.020000,0.031000,0.004760,0.000000
random access to position 1826079,rand_acc,1826079,0.023789,0.020000,0.031000,0.004847,0.000000
random access to position 479444,rand_acc,479444,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 9978282,rand_acc,9978282,0.023391,0.020000,0.031000,0.004737,0.000000
random access to position 3217068,rand_acc,3217068,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 6290487,rand_acc,6290487,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 408704,rand_acc,408704,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 5443452,rand_acc,5443452,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 2737835,rand_acc,2737835,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7750414,rand_acc,7750414,0.023344,0.020000,0.031000,0.004724,0.000000
random access to position 6714832,rand_acc,6714832,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 4320291,rand_acc,4320291,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 8917606,rand_acc,8917606,0.023648,0.020000,0.031000,0.004795,0.000000
random access to position 985556,rand_acc,985556,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 3687915,rand_acc,3687915,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 1209740,rand_acc,1209740,0.023570,0.020000,0.031000,0.004772,0.000000
random access to position 4953786,rand_acc,4953786,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 9094499,rand_acc,9094499,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 217291,rand_acc,217291,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 643547,rand_acc,643547,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 799253,rand_acc,799253,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 5738131,rand_acc,5738131,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 747187,rand_acc,747187,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 8874590,rand_acc,8874590,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 8976102,rand_acc,8976102,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 7309806,rand_acc,7309806,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 408226,rand_acc,408226,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 2117194,rand_acc,2117194,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 8565766,rand_acc,8565766,0.023727,0.020000,0.031000,0.004816,0.000000
random access to position 751870,rand_acc,751870,0.023492,0.020000,0.031000,0.004765,0.000000
random access to position 4681838,rand_acc,4681838,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 4425278,rand_acc,4425278,0.023406,0.020000,0.031000,0.004761,0.000000
random access to position 9142607,rand_acc,9142607,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 2482246,rand_acc,2482246,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 4396046,rand_acc,4396046,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 9650953,rand_acc,9650953,0.023547,0.020000,0.031000,0.004771,0.000000
random access to position 8504552,rand_acc,8504552,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 4998748,rand_acc,4998748,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 8567284,rand_acc,8567284,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 1414468,rand_acc,1414468,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 5613866,rand_acc,5613866,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 6423882,rand_acc,6423882,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 3089919,rand_acc,3089919,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 5453583,rand_acc,5453583,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 2563918,rand_acc,2563918,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 3932477,rand_acc,3932477,0.023492,0.020000,0.031000,0.004781,0.000000
random access to position 6350549,rand_acc,6350549,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 1893541,rand_acc,1893541,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 1947822,rand_acc,1947822,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 2722280,rand_acc,2722280,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 4466410,rand_acc,4466410,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 6200637,rand_acc,6200637,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 2068733,rand_acc,2068733,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 7930634,rand_acc,7930634,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 5475553,rand_acc,5475553,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 9558762,rand_acc,9558762,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 9508265,rand_acc,9508265,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 9402235,rand_acc,9402235,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 3469965,rand_acc,3469965,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 372163,rand_acc,372163,0.023570,0.020000,0.031000,0.004821,0.000000
random access to position 8268043,rand_acc,8268043,0.023336,0.020000,0.031000,0.004712,0.000000
random access to position 6959438,rand_acc,6959438,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 6075847,rand_acc,6075847,0.023500,0.020000,0.031000,0.004776,0.000000
random access to position 6665651,rand_acc,6665651,0.023391,0.020000,0.031000,0.004737,0.000000
random access to position 9111669,rand_acc,9111669,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 9646067,rand_acc,9646067,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 8669002,rand_acc,8669002,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7008767,rand_acc,7008767,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 6040192,rand_acc,6040192,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 5461791,rand_acc,5461791,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 4425550,rand_acc,4425550,0.023250,0.020000,0.031000,0.004672,0.000000
random access to position 7020666,rand_acc,7020666,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 4681315,rand_acc,4681315,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 6436964,rand_acc,6436964,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 6162617,rand_acc,6162617,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 67592,rand_acc,67592,0.023539,0.020000,0.031000,0.004776,0.000000
random access to position 4421723,rand_acc,4421723,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 4659887,rand_acc,4659887,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 6539001,rand_acc,6539001,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 8590766,rand_acc,8590766,0.023469,0.020000,0.031000,0.004763,0.000000
random access to position 9666080,rand_acc,9666080,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 2740476,rand_acc,2740476,0.023711,0.020000,0.031000,0.004859,0.000000
random access to position 3219949,rand_acc,3219949,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 7312247,rand_acc,7312247,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 7767459,rand_acc,7767459,0.023562,0.020000,0.031000,0.004810,0.000000
random access to position 7373276,rand_acc,7373276,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 4513569,rand_acc,4513569,0.023320,0.020000,0.031000,0.004722,0.000000
random access to position 1946978,rand_acc,1946978,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 7139987,rand_acc,7139987,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 7748922,rand_acc,7748922,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 6832587,rand_acc,6832587,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 2446371,rand_acc,2446371,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 5463105,rand_acc,5463105,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 8947174,rand_acc,8947174,0.023391,0.020000,0.031000,0.004754,0.000000
random access to position 8169324,rand_acc,8169324,0.023789,0.020000,0.031000,0.004847,0.000000
random access to position 9083371,rand_acc,9083371,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 1076156,rand_acc,1076156,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 956800,rand_acc,956800,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 5510976,rand_acc,5510976,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 1155572,rand_acc,1155572,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 7848904,rand_acc,7848904,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 6626013,rand_acc,6626013,0.023469,0.020000,0.031000,0.004763,0.000000
random access to position 1333670,rand_acc,1333670,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 7283145,rand_acc,7283145,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 3212867,rand_acc,3212867,0.023391,0.020000,0.031000,0.004737,0.000000
random access to position 214766,rand_acc,214766,0.023719,0.020000,0.031000,0.004854,0.000000
random access to position 7282446,rand_acc,7282446,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 8509952,rand_acc,8509952,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 2984399,rand_acc,2984399,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 675435,rand_acc,675435,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 3898584,rand_acc,3898584,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 5677131,rand_acc,5677131,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 445400,rand_acc,445400,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 4832965,rand_acc,4832965,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 766543,rand_acc,766543,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 1192039,rand_acc,1192039,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 2268219,rand_acc,2268219,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 9555980,rand_acc,9555980,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 3458505,rand_acc,3458505,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 3662426,rand_acc,3662426,0.023797,0.020000,0.031000,0.004858,0.000000
random access to position 9543570,rand_acc,9543570,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 1001252,rand_acc,1001252,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 19451,rand_acc,19451,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 1406233,rand_acc,1406233,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7718069,rand_acc,7718069,0.023477,0.020000,0.031000,0.004742,0.000000
random access to position 1218394,rand_acc,1218394,0.023422,0.020000,0.031000,0.004751,0.000000
random access to position 1634797,rand_acc,1634797,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 1110944,rand_acc,1110944,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 6191061,rand_acc,6191061,0.023398,0.020000,0.031000,0.004716,0.000000
random access to position 7553810,rand_acc,7553810,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 8248831,rand_acc,8248831,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 3768265,rand_acc,3768265,0.023328,0.020000,0.031000,0.004717,0.000000
random access to position 7585885,rand_acc,7585885,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 1528239,rand_acc,1528239,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 7633167,rand_acc,7633167,0.026070,0.020000,0.040000,0.005085,0.000000
random access to position 1047470,rand_acc,1047470,0.025992,0.020000,0.040000,0.005207,0.000000
random access to position 6847293,rand_acc,6847293,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 4772615,rand_acc,4772615,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 8449018,rand_acc,8449018,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 45606,rand_acc,45606,0.023500,0.020000,0.031000,0.004760,0.000000
random access to position 8032351,rand_acc,8032351,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 2183972,rand_acc,2183972,0.027156,0.020000,0.060000,0.005471,0.000000
random access to position 9174571,rand_acc,9174571,0.023336,0.020000,0.031000,0.004712,0.000000
random access to position 8819677,rand_acc,8819677,0.023797,0.020000,0.040000,0.005001,0.000000
random access to position 3080637,rand_acc,3080637,0.027695,0.020000,0.080000,0.006546,0.000000
random access to position 9869526,rand_acc,9869526,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 5238146,rand_acc,5238146,0.023789,0.020000,0.031000,0.004847,0.000000
random access to position 6568765,rand_acc,6568765,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 5999062,rand_acc,5999062,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 1007175,rand_acc,1007175,0.023656,0.020000,0.031000,0.004839,0.000000
random access to position 6812876,rand_acc,6812876,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 9721815,rand_acc,9721815,0.023641,0.020000,0.031000,0.004849,0.000000
random access to position 3555529,rand_acc,3555529,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 6852140,rand_acc,6852140,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 9007086,rand_acc,9007086,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 6343789,rand_acc,6343789,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 5981092,rand_acc,5981092,0.023797,0.020000,0.031000,0.004842,0.000000
random access to position 3748783,rand_acc,3748783,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 8151292,rand_acc,8151292,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 2409869,rand_acc,2409869,0.023703,0.020000,0.031000,0.004832,0.000000
random access to position 369848,rand_acc,369848,0.023805,0.020000,0.031000,0.004853,0.000000
random access to position 2843380,rand_acc,2843380,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 7782966,rand_acc,7782966,0.023734,0.020000,0.031000,0.004844,0.000000
random access to position 9550060,rand_acc,9550060,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 6906902,rand_acc,6906902,0.023617,0.020000,0.031000,0.004799,0.000000
random access to position 3689503,rand_acc,3689503,0.023320,0.020000,0.031000,0.004722,0.000000
random access to position 7069051,rand_acc,7069051,0.023328,0.020000,0.031000,0.004717,0.000000
random access to position 6682309,rand_acc,6682309,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 7384188,rand_acc,7384188,0.023781,0.020000,0.031000,0.004852,0.000000
random access to position 5068562,rand_acc,5068562,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 4751708,rand_acc,4751708,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 5626776,rand_acc,5626776,0.023625,0.020000,0.031000,0.004794,0.000000
random access to position 486912,rand_acc,486912,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 8203275,rand_acc,8203275,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 2516981,rand_acc,2516981,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 6650988,rand_acc,6650988,0.023727,0.020000,0.031000,0.004849,0.000000
random access to position 315070,rand_acc,315070,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 3717040,rand_acc,3717040,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 7948524,rand_acc,7948524,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 5267554,rand_acc,5267554,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 2248257,rand_acc,2248257,0.023656,0.020000,0.031000,0.004806,0.000000
random access to position 6571738,rand_acc,6571738,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 6692419,rand_acc,6692419,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 9652193,rand_acc,9652193,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 7601710,rand_acc,7601710,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 8184486,rand_acc,8184486,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 126858,rand_acc,126858,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 1733456,rand_acc,1733456,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 3600305,rand_acc,3600305,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 5608964,rand_acc,5608964,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 6934508,rand_acc,6934508,0.023578,0.020000,0.031000,0.004784,0.000000
random access to position 6145360,rand_acc,6145360,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 6906794,rand_acc,6906794,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 2941236,rand_acc,2941236,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 55393,rand_acc,55393,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 8776936,rand_acc,8776936,0.023250,0.020000,0.031000,0.004689,0.000000
random access to position 9578175,rand_acc,9578175,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 8497879,rand_acc,8497879,0.023328,0.020000,0.031000,0.004701,0.000000
random access to position 9768770,rand_acc,9768770,0.023656,0.020000,0.031000,0.004823,0.000000
random access to position 942412,rand_acc,942412,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 3541869,rand_acc,3541869,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 4851359,rand_acc,4851359,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 854976,rand_acc,854976,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 9625624,rand_acc,9625624,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 2301048,rand_acc,2301048,0.023734,0.020000,0.031000,0.004844,0.000000
random access to position 645930,rand_acc,645930,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 7660764,rand_acc,7660764,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 758965,rand_acc,758965,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 7698368,rand_acc,7698368,0.023727,0.020000,0.031000,0.004849,0.000000
random access to position 7185286,rand_acc,7185286,0.023312,0.020000,0.031000,0.004710,0.000000
random access to position 4745829,rand_acc,4745829,0.023789,0.020000,0.031000,0.004847,0.000000
random access to position 882843,rand_acc,882843,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 1087715,rand_acc,1087715,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 6722707,rand_acc,6722707,0.023711,0.020000,0.031000,0.004859,0.000000
random access to position 4058816,rand_acc,4058816,0.023805,0.020000,0.031000,0.004853,0.000000
random access to position 7479094,rand_acc,7479094,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 287023,rand_acc,287023,0.023469,0.020000,0.031000,0.004763,0.000000
random access to position 9010584,rand_acc,9010584,0.023477,0.020000,0.031000,0.004742,0.000000
random access to position 2330936,rand_acc,2330936,0.023250,0.020000,0.031000,0.004672,0.000000
random access to position 8686020,rand_acc,8686020,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 3521858,rand_acc,3521858,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 9468439,rand_acc,9468439,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7338707,rand_acc,7338707,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 7813540,rand_acc,7813540,0.023492,0.020000,0.031000,0.004748,0.000000
random access to position 5065667,rand_acc,5065667,0.027000,0.020000,0.031000,0.004622,0.000000
random access to position 8939962,rand_acc,8939962,0.024820,0.020000,0.031000,0.005010,0.000000
random access to position 2239702,rand_acc,2239702,0.025937,0.020000,0.031000,0.004951,0.000000
random access to position 1982436,rand_acc,1982436,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 7139243,rand_acc,7139243,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 2587761,rand_acc,2587761,0.023711,0.020000,0.031000,0.004843,0.000000
random access to position 4190520,rand_acc,4190520,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 3803247,rand_acc,3803247,0.023719,0.020000,0.031000,0.004854,0.000000
random access to position 9547987,rand_acc,9547987,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 4951138,rand_acc,4951138,0.023805,0.020000,0.031000,0.004869,0.000000
random access to position 4042825,rand_acc,4042825,0.023805,0.020000,0.031000,0.004853,0.000000
random access to position 2050796,rand_acc,2050796,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 6288335,rand_acc,6288335,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 3588347,rand_acc,3588347,0.023539,0.020000,0.031000,0.004792,0.000000
random access to position 4098684,rand_acc,4098684,0.023812,0.020000,0.031000,0.004863,0.000000
random access to position 1881401,rand_acc,1881401,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 6887512,rand_acc,6887512,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 2239599,rand_acc,2239599,0.023617,0.020000,0.031000,0.004816,0.000000
random access to position 1178546,rand_acc,1178546,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 3143478,rand_acc,3143478,0.023633,0.020000,0.031000,0.004789,0.000000
random access to position 5405700,rand_acc,5405700,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 390184,rand_acc,390184,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 962638,rand_acc,962638,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 5101381,rand_acc,5101381,0.023703,0.020000,0.031000,0.004848,0.000000
random access to position 7533574,rand_acc,7533574,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 6981785,rand_acc,6981785,0.023797,0.020000,0.031000,0.004858,0.000000
random access to position 1548406,rand_acc,1548406,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 3265252,rand_acc,3265252,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 5563588,rand_acc,5563588,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 1110018,rand_acc,1110018,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 3596023,rand_acc,3596023,0.023578,0.020000,0.031000,0.004767,0.000000
random access to position 4978492,rand_acc,4978492,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 6015191,rand_acc,6015191,0.023734,0.020000,0.031000,0.004811,0.000000
random access to position 2908866,rand_acc,2908866,0.023539,0.020000,0.031000,0.004792,0.000000
random access to position 7397502,rand_acc,7397502,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 317142,rand_acc,317142,0.023633,0.020000,0.031000,0.004789,0.000000
random access to position 8776651,rand_acc,8776651,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 358848,rand_acc,358848,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 4284944,rand_acc,4284944,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 403031,rand_acc,403031,0.023711,0.020000,0.031000,0.004843,0.000000
random access to position 2926539,rand_acc,2926539,0.023711,0.020000,0.031000,0.004843,0.000000
random access to position 1865142,rand_acc,1865142,0.023805,0.020000,0.031000,0.004869,0.000000
random access to position 34967,rand_acc,34967,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 3552868,rand_acc,3552868,0.023727,0.020000,0.031000,0.004849,0.000000
random access to position 5472288,rand_acc,5472288,0.023789,0.020000,0.031000,0.004847,0.000000
random access to position 387967,rand_acc,387967,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 5393549,rand_acc,5393549,0.023805,0.020000,0.031000,0.004869,0.000000
random access to position 601424,rand_acc,601424,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 7951720,rand_acc,7951720,0.023711,0.020000,0.031000,0.004843,0.000000
random access to position 7253754,rand_acc,7253754,0.023805,0.020000,0.031000,0.004836,0.000000
random access to position 3253848,rand_acc,3253848,0.023695,0.020000,0.031000,0.004821,0.000000
random access to position 6160851,rand_acc,6160851,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 3886798,rand_acc,3886798,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 1922278,rand_acc,1922278,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 2760718,rand_acc,2760718,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 9858196,rand_acc,9858196,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 3428721,rand_acc,3428721,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 3269601,rand_acc,3269601,0.023711,0.020000,0.031000,0.004843,0.000000
random access to position 5469872,rand_acc,5469872,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 4915973,rand_acc,4915973,0.023727,0.020000,0.031000,0.004849,0.000000
random access to position 3029012,rand_acc,3029012,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 349550,rand_acc,349550,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 8386346,rand_acc,8386346,0.023703,0.020000,0.031000,0.004848,0.000000
random access to position 9669390,rand_acc,9669390,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 1166164,rand_acc,1166164,0.023781,0.020000,0.031000,0.004868,0.000000
random access to position 4197448,rand_acc,4197448,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 6623839,rand_acc,6623839,0.023797,0.020000,0.031000,0.004858,0.000000
random access to position 4008232,rand_acc,4008232,0.023648,0.020000,0.031000,0.004795,0.000000
